,Search term,Keyword,Similarity Score,Keyword vs Account Similarity,Match Type_Broad match,Match Type_Exact match,Match Type_Phrase match,Added/Excluded
50,ondura roofing,commercial flat roof replacement,0.5489612221717834,0.6955846548080444,1,0,0,1
51,conklin roofing,commercial roofing company,0.5756720304489136,0.647728443145752,0,0,1,1
52,rubber roofing,rubber roofers,0.8439573049545288,0.6265695095062256,0,0,1,0
53,findlay roofing,commercial roof repair,0.6780243515968323,0.6992402672767639,1,0,0,1
54,epdm roofing,EPDM roofers,0.9209096431732178,0.61384117603302,0,0,1,0
55,tpo roof replacement,TPO roof replacement,1.000000238418579,0.6873835325241089,0,1,0,0
56,led fluorescent light replacement,light tube replacement,0.5764480829238892,0.10054171085357666,0,0,1,1
57,skylight installation,skylight installation,1.0,0.28196728229522705,0,1,0,0
58,whitlock roofing,residential roofing company,0.5569730997085571,0.6421590447425842,1,0,0,1
59,ez roofing,roofing companies near me,0.6669296622276306,0.7224099040031433,1,0,0,1
60,malarkey roofing,roof repair services,0.6140511631965637,0.708480715751648,1,0,0,1
61,roofing company tulsa,roofers in tulsa ok,0.9065294861793518,0.8019634485244751,0,1,0,0
62,ridgeback roofing,roofing contractor company,0.5325464010238647,0.6199806332588196,0,0,1,1
63,metal building insulation,attic insulation service,0.5671831369400024,0.6076498627662659,1,0,0,1
64,commercial roof installers,commercial roof installers,0.9999999403953552,0.8369708061218262,0,1,0,0
65,rubber roof repair,rubber roofers,0.7123299837112427,0.6083320379257202,0,0,1,0
66,rubber roofing,rubber roofers,0.8439573049545288,0.6265695095062256,0,1,0,0
67,malarkeyroofing com,commercial roofing tulsa,0.047194916754961,0.19947659969329834,1,0,0,1
68,commercial flat roofing,commercial flat roofing,1.000000238418579,0.6930890083312988,0,1,0,0
69,restoremasters,commercial roofing contractor,0.0402729958295822,0.20140093564987183,1,0,0,1
70,industrial roof repair,industrial roof repair,1.000000238418579,0.7408908605575562,0,1,0,0
71,richard soan roofing,roof installation company,0.6491637229919434,0.6832882165908813,1,0,0,1
72,claremore roofing company,house roofing company,0.7996482253074646,0.792578935623169,0,0,1,1
73,home repair contractors near me,roof repair near me,0.658690333366394,0.6380771398544312,1,0,0,1
74,wright roofing,roof replacement company,0.6055262684822083,0.7449751496315002,0,0,1,1
75,xtreme roofing,home roofing contractor,0.5856181383132935,0.6662636995315552,0,0,1,1
76,garage attic insulation,garage attic insulation,1.0,0.41303324699401855,0,1,0,0
77,rubber roof replacement,rubber roof replacement,1.0000001192092896,0.6576439142227173,0,1,0,0
78,roof rite,commercial roofing contractor,0.4852466583251953,0.665084183216095,1,0,0,1
79,sun tunnel installation,sun tunnel installation,1.0,0.1945653259754181,0,1,0,0
80,a best roofing,a best roofing,1.000000238418579,0.7699873447418213,0,1,0,0
81,a best roofing tulsa ok,a best roofing tulsa ok,1.0000001192092896,0.7142242193222046,0,1,0,0
82,abest roofing tulsa,a best roofing tulsa,0.8854719996452332,0.7209826707839966,0,1,0,0
83,a best roofing tulsa,+a +best +roofing +tulsa,0.8559160232543945,0.7231369018554688,0,1,0,0
84,abest roofing,+abest +roofing,0.9143975973129272,0.7077993750572205,0,1,0,0
85,ridge cap shingles,roof installation company,0.4606524705886841,0.47181236743927,1,0,0,1
86,aps roofing,residential roofing company,0.5917208194732666,0.6522916555404663,1,0,0,1
87,roofers in tulsa ok,roofers in tulsa OK,1.0,0.7729689478874207,0,1,0,0
88,craigs roofing,+roofing +contractor +service,0.6885703802108765,0.8059312105178833,0,0,1,1
89,roughneck roofing,roof repair contractor,0.5535084009170532,0.6191438436508179,1,0,0,1
90,cantrell roofing,residential roofing company,0.5414316654205322,0.6352354884147644,1,0,0,1
91,mcr roofing,roof repair company,0.6445862054824829,0.7127853035926819,1,0,0,1
92,roofing with thomas,roofing contractor in tulsa,0.4783412218093872,0.6507064700126648,1,0,0,1
93,petra roofing,residential roofing company,0.6088747382164001,0.6799975037574768,1,0,0,1
94,mcbride roofing,home roofing contractor,0.602681577205658,0.71632319688797,0,0,1,1
95,up roofing,+roof +replacement +company,0.5873351693153381,0.7081050276756287,0,0,1,1
96,williams roofing,residential roofing contractor,0.6287568211555481,0.7568436861038208,1,0,0,1
97,acts 29 roofing,residential roofing contractor,0.4776839315891266,0.6524748802185059,1,0,0,1
98,mcpride roofing,roofing companies near me,0.6170117855072021,0.6837279200553894,1,0,0,1
99,guyette roofing,roof repair specialist,0.6387097835540771,0.714306116104126,0,0,1,2
100,bristow roofing,roofing company service,0.6022009253501892,0.7122267484664917,0,0,1,2
101,top rated roofers near me,roofing company near me,0.8345681428909302,0.776247501373291,0,1,0,2
102,roofing payment plans,roofing payment plans,1.0000001192092896,0.7967520952224731,0,1,0,0
103,church roofing contractors,residential roofing contractor,0.7966986894607544,0.8406767845153809,1,0,0,2
104,roof eave repair,damaged roof repair,0.7798866033554077,0.6329061985015869,0,0,1,2
105,cost to fix roof leak,+roof +leak +repair,0.6675820350646973,0.49693459272384644,0,0,1,2
106,ultra roofing,roofers near me,0.5888283252716064,0.7186498045921326,1,0,0,2
107,robinson roofing,roofing companies near me,0.6781260967254639,0.7475649118423462,1,0,0,2
108,roofing tulsa ok,best roof installers,0.5742130279541016,0.705507218837738,0,0,1,2
109,roofers,roofing company,0.7836735248565674,0.808718740940094,0,1,0,1
110,dewberry architects tulsa,roofing contractor in tulsa,0.6108202934265137,0.45272278785705566,1,0,0,2
111,o hara's son roofing company,roofing contractor company,0.7438240647315979,0.7973455190658569,0,0,1,2
112,roofs for you,roof repair company,0.5734241008758545,0.7028846144676208,1,0,0,2
113,land run roofing,roof repair company,0.5739860534667969,0.6335111856460571,0,0,1,2
114,top roof near me,residential roofing company,0.561303436756134,0.6321570873260498,1,0,0,2
115,roofing companies owasso ok,roofing contractor service,0.6140255928039551,0.7428610920906067,0,0,1,2
116,roofers mcalester ok,roofing contractor company,0.640342652797699,0.7065364122390747,0,0,1,2
117,fort worth roofing company,roof installation company,0.7721211910247803,0.7869665622711182,0,0,1,2
118,murfreesboro roofing,roof repair specialist,0.5827947854995728,0.7251535654067993,0,0,1,2
119,hart roofing,roof repair services,0.6707226634025574,0.7234495878219604,1,0,0,2
120,chitwood roofing salina ok,roofing contractor in salina,0.6710509657859802,0.6719454526901245,0,0,1,1
121,atoz roofing,roof repair services,0.6241275668144226,0.6868140697479248,1,0,0,2
122,driller roofing,roofing company service,0.5816830992698669,0.7351608276367188,0,0,1,1
123,roofers near me that offer financing,residential roofing contractor,0.568872332572937,0.8094795346260071,0,0,1,2
124,blown in insulation cost per sq ft,blown in roof insulation,0.6072068214416504,0.33418571949005127,0,0,1,2
125,foam insulation for attic,attic insulation service,0.6752294301986694,0.3287533223628998,1,0,0,2
126,24 attic insulation,attic insulation service,0.7179906368255615,0.4508853852748871,0,0,1,2
127,blown insulation for attic,blow in insulation,0.7394149899482727,0.3677629232406616,0,1,0,2
128,general contractor companies near me,residential roofing contractor,0.5794057846069336,0.6170355677604675,1,0,0,2
129,scotts roofing,residential roofing company,0.6819981336593628,0.7675282955169678,1,0,0,2
130,geico roofing,roof repair services,0.7008658051490784,0.7846671342849731,1,0,0,2
131,stillwater roofing,roofers near me,0.6211907863616943,0.6925843954086304,1,0,0,2
132,atwell roofing tulsa,+roofing +in +tulsa +ok,0.7958065271377563,0.6510405540466309,0,0,1,2
133,roofing companies,roof repair contractor,0.7349913716316223,0.9120641350746155,0,1,0,2
134,roofing insulation,roof repair contractor,0.4752828478813171,0.5927950143814087,1,0,0,2
135,roofing companies,roofing company in my area,0.912816286087036,0.9120641350746155,0,1,0,2
136,first class roofing,roofing contractor service,0.6315329074859619,0.7219302654266357,0,0,1,2
137,roofing com,residential roofing company,0.8136070370674133,0.8635860681533813,1,0,0,2
138,hornback roofing,roof repair company,0.5521388053894043,0.6417584419250488,0,0,1,1
139,broken arrow roofers,roofing contractor in my area,0.4945493936538696,0.6450459957122803,0,0,1,2
140,tulsa roofer,roofing contractor service,0.5690010786056519,0.688280463218689,0,0,1,2
141,insurance roofing,roofers in tulsa,0.5638304948806763,0.7560634613037109,1,0,0,2
142,frisby roofing,home roofing contractor,0.6137121915817261,0.7229389548301697,0,0,1,2
143,roofer left roof exposed,roof installation company,0.5009338855743408,0.5700555443763733,1,0,0,2
144,basey roofing,residential roofing company,0.5258994102478027,0.6041067838668823,1,0,0,2
145,sterling roofing services dumfries,house roof repair,0.5137127637863159,0.7752191424369812,0,0,1,2
146,mcbride roofing,roofing company service,0.5974540114402771,0.71632319688797,0,0,1,1
147,tulsas best roofer 2019,best roofing contractor,0.6458010673522949,0.6136699914932251,0,0,1,2
148,composite roof shingles,home roof replacement,0.5545712113380432,0.589605450630188,1,0,0,2
149,c&a roofing,residential roofing company,0.6795921325683594,0.7637144923210144,1,0,0,1
150,my roof,residential roofing company,0.4373783469200134,0.6119124889373779,1,0,0,2
151,i need a new roof,home roofing,0.6629260182380676,0.8004234433174133,0,1,0,2
152,on top roofing utah,roof repair specialist,0.5809415578842163,0.7056758403778076,0,0,1,2
153,roofer near me,roof repair specialist,0.668349027633667,0.7835197448730469,0,1,0,2
154,beamer roofing,roofing companies near me,0.6194506883621216,0.6533727645874023,0,0,1,1
155,roofing companies broken arrow ok,+roof +contractor +broken +arrow,0.7149967551231384,0.7394480109214783,0,1,0,2
156,rain during roof replacement,home roof replacement,0.6309287548065186,0.6262564063072205,1,0,0,2
157,duke roofing,roofers near me,0.5581750273704529,0.6955511569976807,1,0,0,2
158,fitzgerald roofing tulsa,roof installation company,0.6166852712631226,0.6876684427261353,0,0,1,2
159,roofers owasso,local residential roofers,0.6104010939598083,0.6108553409576416,0,0,1,2
160,dice roofing,residential roofing company,0.533686637878418,0.6568219065666199,1,0,0,1
161,roof repair estimate,roofing company estimate,0.7937894463539124,0.7358403205871582,0,1,0,2
162,new view roofing,roofing contractor service,0.5793800950050354,0.6771261692047119,0,0,1,2
163,roofers in bartlesville ok,licensed roofing company,0.6804223656654358,0.751476526260376,0,0,1,2
164,skyleaf broken arrow,roofers in broken arrow,0.4488094449043274,0.19143471121788025,1,0,0,2
165,roofing consulting services,roofing company service,0.8774076700210571,0.8514156341552734,0,1,0,2
166,tulsa roofers,roof repair in tulsa,0.8178999423980713,0.7096893787384033,0,1,0,2
167,tulsa roofers,+roof +repair +contractor,0.5647487640380859,0.7096893787384033,0,0,1,2
168,roofing contractors great falls,roof replacement contractor,0.6669025421142578,0.7497331500053406,0,0,1,2
169,roofing coweta ok,roof installation company,0.5766201019287109,0.6368550062179565,0,0,1,2
170,fascia replacement near me,roof repair services,0.3500638008117676,0.45702290534973145,1,0,0,2
171,roof repair in broken arrow,roofing in broken arrow,0.875947117805481,0.6671483516693115,0,1,0,2
172,new roof 2000 sq ft house,house roof replacement,0.7328667640686035,0.6205024123191833,0,0,1,2
173,legendary roofing and construction,home roofing contractor,0.6443787813186646,0.7093318104743958,0,0,1,2
174,veteran roofing near me,roofing company in my area,0.7407398223876953,0.7526060938835144,0,0,1,2
175,butler roof,damaged roof repair,0.3664338886737823,0.5880923271179199,1,0,0,2
176,roofers tulsa,roofing contractor in tulsa,0.8298125267028809,0.7313355207443237,0,1,0,2
177,roofers tulsa,roofing company in my area,0.7121888995170593,0.7313355207443237,0,0,1,2
178,contractors tulsa ok,roofers in tulsa,0.7283573150634766,0.565292239189148,1,0,0,1
179,sand springs ok roofers,roof repair in sand springs,0.8055695295333862,0.6582855582237244,0,1,0,2
180,golden roofing,roof installation company,0.6450405120849609,0.7414461374282837,0,0,1,2
181,roof estimate broken arrow ok,roofing estimate near me,0.6101541519165039,0.6726830005645752,0,0,1,2
182,shingles roofing company,roofing contractor company,0.8330496549606323,0.8531950116157532,0,0,1,2
183,roof estimate broken arrow ok,roofing company broken arrow,0.7967787981033325,0.6726830005645752,0,1,0,2
184,tulsa roofs,good roofing company,0.5994437336921692,0.6597837209701538,0,0,1,2
185,total roof replacement,home roof replacement,0.8423589468002319,0.802780270576477,0,1,0,2
186,roofing companies in jenks,local residential roofers,0.6940271854400635,0.7383908033370972,0,0,1,2
187,loans for a new roof,roofing financing,0.8337143659591675,0.773185133934021,0,1,0,2
188,joplin roofing companies,roof repair specialist,0.5679468512535095,0.7049773335456848,0,0,1,2
189,monson roofing,residential roofing contractor,0.5835766196250916,0.7198284864425659,1,0,0,2
190,skinner roofing,roofing company in my area,0.575790286064148,0.6484932899475098,1,0,0,2
191,roof companies that finance,roofing companies near me that finance,0.9414785504341124,0.820044755935669,0,1,0,2
192,claremore roofing contractor,roof repair in claremore,0.768783450126648,0.7635331153869629,0,1,0,2
193,pro source roofing,roofing companies near me,0.6776608228683472,0.7128798961639404,1,0,0,2
194,fort worth roofing companies,residential roofing company,0.7210932970046997,0.7589614391326904,1,0,0,2
195,hammer roofing and restoration,damaged roof repair,0.6270396709442139,0.6174145340919495,1,0,0,2
196,max roofing,roof repair services,0.6289656758308411,0.7621027231216431,1,0,0,2
197,clay roof,roof installation company,0.5381065011024475,0.6443011164665222,1,0,0,2
198,toofing,home roofing,0.1582150310277938,0.1819363534450531,0,1,0,1
199,paramount roofing,home roofing contractor,0.6383320093154907,0.7419908046722412,0,0,1,2
200,jackson roofing company,roof installation company,0.7711677551269531,0.7970505356788635,0,0,1,2
201,whitney roofing,roof repair services,0.6305868625640869,0.7387804985046387,1,0,0,2
202,weatherguard roofing,roofing company service,0.5426540970802307,0.649993360042572,0,0,1,2
203,estimate roofing,roofing quotes,0.694926917552948,0.8593857288360596,0,1,0,2
204,thomas roofing company,residential roofing company,0.7494261860847473,0.7916740775108337,1,0,0,2
205,roofers tulsa ok,+house +roof +repair,0.5713615417480469,0.7750146389007568,0,0,1,2
206,free roof estimate near me,residential roofing contractor,0.5523196458816528,0.8270267248153687,1,0,0,2
207,chitwood roofing salina ok,+roof +replacement +company,0.5642437934875488,0.6719454526901245,0,0,1,1
208,repair roof shingles,damaged roof repair,0.7572070360183716,0.6795730590820312,0,0,1,2
209,ceiling insulation r30,attic insulation service,0.6098878979682922,0.4039372503757477,1,0,0,2
210,bluetex insulation,roof insulation company,0.5699196457862854,0.29533064365386963,0,0,1,2
211,best blow in insulation for attics,blown in insulation installation,0.4329161942005157,0.35110220313072205,0,0,1,2
212,attic insulation companies,attic insulation near me,0.7868630886077881,0.6425826549530029,0,1,0,2
213,custom insulation,attic insulation service,0.626859188079834,0.35514065623283386,1,0,0,2
214,attic encapsulation cost,attic insulation service,0.636456310749054,0.49048808217048645,1,0,0,2
215,r60 blown insulation,blown in attic insulation,0.6859137415885925,0.2918972373008728,0,0,1,2
216,attic insulation,attic roof insulation,0.9628584384918212,0.46974632143974304,0,1,0,0
217,affordable insulators,attic insulation service,0.4090802073478699,0.27889758348464966,1,0,0,2
218,insulation company,attic insulation service,0.6992809772491455,0.6761424541473389,1,0,0,2
219,injection foam insulation contractors near me,attic insulation service,0.5700094699859619,0.44052982330322266,1,0,0,2
220,blown insulation tulsa,blow in insulation company near me,0.6622833013534546,0.3800247311592102,0,0,1,2
221,phoenix insulation tulsa,attic insulation service,0.5119490623474121,0.45385557413101196,1,0,0,2
222,1600 square foot roof estimate,roofers near me,0.4666891694068908,0.6707319617271423,1,0,0,2
223,top rated roofing contractor near me,roofing company in my area,0.8294790983200073,0.7999868392944336,0,1,0,2
224,roofing companies in tulsa,best roofing contractor,0.6481168866157532,0.7505784034729004,0,0,1,2
225,blackstone roofing,roofing company in my area,0.6775519847869873,0.7090288400650024,1,0,0,2
226,oklahoma roofing contractors,home roofing contractor,0.7659901976585388,0.8049284219741821,1,0,0,2
227,roofing grove ok,roof repair specialist,0.5466737747192383,0.6904666423797607,0,0,1,2
228,top roofing companies,residential roofing company,0.8083063960075378,0.8169898390769958,1,0,0,2
229,golden cedar shingles,home roofing contractor,0.4808380603790283,0.562811017036438,1,0,0,2
230,roofing repair cost,roof repair cost,0.9681766629219056,0.6276854276657104,0,1,0,2
231,couch roofing,roofing companies near me,0.5845800638198853,0.6435837745666504,1,0,0,2
232,reyes roofing,+roofing +contractor +service,0.5770511627197266,0.682744562625885,0,0,1,1
233,local roofer near me,roof repair near me,0.8092039823532104,0.8122055530548096,0,1,0,2
234,roofing claremore,roofing in claremore,0.9542572498321532,0.5782248973846436,0,1,0,2
235,roofing services near me,best local roofer,0.7707790732383728,0.822475016117096,0,1,0,2
236,roofmax com,roof repair company,0.7920258045196533,0.8027135133743286,1,0,0,2
237,roof repair nichols hills,+house +roof +repair,0.6260238885879517,0.7366472482681274,0,0,1,2
238,spr roofing,roof installation company,0.6311464309692383,0.6456793546676636,0,0,1,2
239,duke roofing,roofing company service,0.5965802073478699,0.6955511569976807,0,0,1,2
240,rocket roofing,roofing company service,0.5147824287414551,0.6414197683334351,0,0,1,1
241,tennessee roofing,roof repair company,0.657806932926178,0.733326256275177,0,0,1,2
242,roof rejuvenation near me,damaged roof repair,0.6521730422973633,0.731658935546875,0,0,1,2
243,peak roof,residential roofing company,0.5618618726730347,0.6286363005638123,1,0,0,2
244,best roofing companies tulsa,roofing company in tulsa ok,0.8691489696502686,0.6975908279418945,0,0,1,2
245,recover roofing,roofers near me,0.5743571519851685,0.7365467548370361,1,0,0,2
246,hail damage on a shingle roof,storm damage roof,0.7331510782241821,0.5707916021347046,0,0,1,2
247,residential roofers tulsa,roofing companies near me,0.6752969026565552,0.7528121471405029,0,0,1,2
248,roof replace,house roof replacement,0.9008736610412598,0.8568128347396851,0,1,0,2
249,roof by rogers,roof installation company,0.5247677564620972,0.5633423924446106,1,0,0,2
250,roofing bixby ok,+roofing +company +bixby,0.7849806547164917,0.70328688621521,0,1,0,2
251,trd roofing,roof installation company,0.5869909524917603,0.6384220123291016,0,0,1,2
252,state farm roof replacement requirements,home roof replacement,0.6156401634216309,0.6369270086288452,0,0,1,2
253,tulsa concrete contractors,roofing contractor in tulsa,0.7384804487228394,0.535659909248352,1,0,0,2
254,who pays for roof inspection,roof repair inspection,0.6954622268676758,0.5500646829605103,0,0,1,2
255,armorshield 2 shingles,roofers in tulsa,0.2265722155570984,0.3362954258918762,1,0,0,2
256,stillwater roofing companies,+roof +replacement +company,0.6410349607467651,0.7679535150527954,0,0,1,2
257,st petersburg roofer,roof repair expert,0.6518834829330444,0.6619746685028076,0,0,1,2
258,stillwater roofing companies,roofing contractor company,0.7333767414093018,0.7679535150527954,0,0,1,2
259,homeadvisor roof repair,+house +roof +repair,0.7271765470504761,0.830341100692749,0,0,1,2
260,roofing work order,roofers near me,0.5686287879943848,0.7241905927658081,1,0,0,2
261,licensed roofer,licensed roofing company,0.7839171886444092,0.8402794003486633,0,1,0,2
262,roofers tulsa,roof installation company,0.6714240312576294,0.7313355207443237,0,0,1,2
263,gaf roofing installation,gaf roofing company,0.7773616313934326,0.5939713716506958,0,0,1,2
264,roofing skilled trade services,+roofing +company +service,0.7734058499336243,0.7863019704818726,0,0,1,2
265,repair roof tulsa,roof replacement company,0.6120190620422363,0.7195580005645752,0,0,1,2
266,what happens if it rains while getting a new roof,home roof replacement,0.6145106554031372,0.6088573336601257,1,0,0,2
267,best insurance company for roof replacement,home roof replacement,0.6627484560012817,0.6761855483055115,0,0,1,2
268,roof near me,house roofers,0.5598194003105164,0.6642483472824097,0,1,0,2
269,owens roofing,roofing companies near me,0.7162672877311707,0.7776241302490234,1,0,0,2
270,byers roofing,local roofer,0.708557665348053,0.720107913017273,0,0,1,2
271,how much does a new roof cost for a 800 square foot house,+new +house +roofing,0.5753602981567383,0.5250411033630371,0,0,1,2
272,roof shingles lifting up,damaged roof repair,0.44759401679039,0.5016740560531616,1,0,0,2
273,how much does a new roof cost in oklahoma,home roof replacement,0.4968017041683197,0.49321988224983215,0,0,1,2
274,olshan tulsa ok,roof repair service tulsa,0.4560678601264953,0.3320907950401306,1,0,0,2
275,residential roofing insurance,residential roofing company,0.7454827427864075,0.6900928020477295,1,0,0,2
276,owens corning preferred contractor,residential roofing contractor,0.4579099416732788,0.5125201940536499,0,0,1,2
277,roof recoverable depreciation,home roof replacement,0.5863779783248901,0.629792332649231,1,0,0,2
278,malarky shingle,roofing company in my area,0.2352449297904968,0.3038051128387451,1,0,0,2
279,mkroofing,roofing companies near me,0.2004816383123397,0.3294166922569275,1,0,0,2
280,who replaces fascia boards,roof repair near me,0.2692904472351074,0.40248405933380127,1,0,0,2
281,bixby roof repair,roof repair in bixby,0.9685119390487672,0.71245938539505,0,1,0,2
282,west coast roofing company,+roofing +company +service,0.7817184925079346,0.8608328700065613,0,0,1,2
283,loans for roof,roof installation company,0.6308355331420898,0.8071339726448059,1,0,0,2
284,roofing estimates near me,+roofing +estimate +near +me,0.8330577611923218,0.8170995712280273,0,1,0,2
285,discounted shingles,roofers in tulsa,0.4122456014156341,0.5683735013008118,1,0,0,2
286,roofing repair coweta,roof repair free estimate,0.5587190389633179,0.6996800303459167,1,0,0,2
287,ja roofing,roofing companies near me,0.6082392930984497,0.7226153016090393,0,0,1,1
288,house eaves repair,home roof replacement,0.5828802585601807,0.5949708223342896,1,0,0,2
289,permaroof,roofing company in my area,0.1200531795620918,0.18627484142780304,1,0,0,2
290,broken arrow roofer,local roofer,0.650637149810791,0.6427333354949951,0,0,1,2
291,dynamic restoration sapulpa,roof repair company,0.180461049079895,0.2521151304244995,0,0,1,1
292,conley roofing,residential roofing company,0.6360988616943359,0.7157225608825684,1,0,0,2
293,angi roofing,certified roofing contractor,0.5395658016204834,0.6821709871292114,0,0,1,2
294,attic insulation replacement,attic insulation replacement,1.0000001192092896,0.5174872279167175,0,1,0,0
295,home insulation services,attic insulation service,0.8042255640029907,0.4987827241420746,1,0,0,1
296,blow in insulation cost,blown in roof insulation,0.5488591194152832,0.3338462710380554,0,0,1,1
297,cost to insulate attic,attic insulation service,0.6201817989349365,0.3795585036277771,0,0,1,1
298,tulsa home insulation,attic insulation service,0.6038491725921631,0.36435666680336,1,0,0,1
299,best wall insulation,attic insulation service,0.4637471437454223,0.23570677638053894,1,0,0,2
300,attic insulation cost,attic insulation service,0.6854126453399658,0.42315980792045593,1,0,0,1
301,sanctuary cellulose insulation,cellulose home insulation,0.8299860954284668,0.2805165946483612,0,0,1,2
302,attic insulation broken arrow ok,attic insulation service,0.5965774059295654,0.36569109559059143,0,0,1,2
303,insulation company near me,attic insulation service,0.6506192684173584,0.5866879224777222,1,0,0,2
304,foam house insulation,attic insulation service,0.5261435508728027,0.2832874655723572,1,0,0,2
305,atticat loose fill blown in insulation,attic roof insulation,0.6496915817260742,0.35904914140701294,0,0,1,2
306,rebate on insulation,attic insulation service,0.5177086591720581,0.38226157426834106,1,0,0,2
307,tulsa foam insulation,attic insulation service,0.505181610584259,0.2682898938655853,1,0,0,2
308,r 38 attic insulation,attic insulation service,0.6928433179855347,0.4051494598388672,1,0,0,2
309,attic insulation removal and replacement near me,attic insulation service,0.7387545108795166,0.5260200500488281,0,0,1,2
310,best insulation company near me,attic insulation service,0.6428345441818237,0.5008198618888855,1,0,0,2
311,m&j insulation moore ok,attic insulation service,0.5348072052001953,0.4182167053222656,1,0,0,2
312,insulation guys near me,attic insulation service,0.6199350357055664,0.5158726572990417,1,0,0,2
313,insulation r30,attic insulation service,0.5559511780738831,0.3789951205253601,1,0,0,2
314,insulation for attic,attic insulation service,0.7723971605300903,0.40751421451568604,1,0,0,2
