,Search term,Keyword,Added/Excluded,Similarity Score,Match Type_Broad match,Match Type_Exact match,Match Type_Phrase match
52,rubber roofing,rubber roofers,0,0.8439573049545288,0,0,1
53,findlay roofing,commercial roof repair,1,0.6780243515968323,1,0,0
54,epdm roofing,EPDM roofers,0,0.9209096431732178,0,0,1
55,tpo roof replacement,TPO roof replacement,0,1.000000238418579,0,1,0
56,led fluorescent light replacement,light tube replacement,1,0.5764480829238892,0,0,1
57,skylight installation,skylight installation,0,1.0,0,1,0
58,whitlock roofing,residential roofing company,1,0.5569730997085571,1,0,0
59,ez roofing,roofing companies near me,1,0.6669296622276306,1,0,0
60,malarkey roofing,roof repair services,1,0.6140511631965637,1,0,0
61,roofing company tulsa,roofers in tulsa ok,0,0.9065294861793518,0,1,0
62,ridgeback roofing,roofing contractor company,1,0.5325464010238647,0,0,1
63,metal building insulation,attic insulation service,1,0.5671831369400024,1,0,0
64,commercial roof installers,commercial roof installers,0,0.9999999403953552,0,1,0
65,rubber roof repair,rubber roofers,0,0.7123299837112427,0,0,1
66,rubber roofing,rubber roofers,0,0.8439573049545288,0,1,0
67,malarkeyroofing com,commercial roofing tulsa,1,0.047194916754961014,1,0,0
68,commercial flat roofing,commercial flat roofing,0,1.000000238418579,0,1,0
69,restoremasters,commercial roofing contractor,1,0.040272995829582214,1,0,0
70,industrial roof repair,industrial roof repair,0,1.000000238418579,0,1,0
71,richard soan roofing,roof installation company,1,0.6491637229919434,1,0,0
72,claremore roofing company,house roofing company,1,0.7996482253074646,0,0,1
73,home repair contractors near me,roof repair near me,1,0.658690333366394,1,0,0
74,wright roofing,roof replacement company,1,0.6055262684822083,0,0,1
75,xtreme roofing,home roofing contractor,1,0.5856181383132935,0,0,1
76,garage attic insulation,garage attic insulation,0,1.0,0,1,0
77,rubber roof replacement,rubber roof replacement,0,1.0000001192092896,0,1,0
78,roof rite,commercial roofing contractor,1,0.4852466583251953,1,0,0
79,sun tunnel installation,sun tunnel installation,0,1.0,0,1,0
80,a best roofing,a best roofing,0,1.000000238418579,0,1,0
81,a best roofing tulsa ok,a best roofing tulsa ok,0,1.0000001192092896,0,1,0
82,abest roofing tulsa,a best roofing tulsa,0,0.8854719996452332,0,1,0
83,a best roofing tulsa,+a +best +roofing +tulsa,0,0.8559160232543945,0,1,0
84,abest roofing,+abest +roofing,0,0.9143975973129272,0,1,0
85,ridge cap shingles,roof installation company,1,0.4606524705886841,1,0,0
86,aps roofing,residential roofing company,1,0.5917208194732666,1,0,0
87,roofers in tulsa ok,roofers in tulsa OK,0,1.0,0,1,0
88,craigs roofing,+roofing +contractor +service,1,0.6885703802108765,0,0,1
89,roughneck roofing,roof repair contractor,1,0.5535084009170532,1,0,0
90,cantrell roofing,residential roofing company,1,0.5414316654205322,1,0,0
91,mcr roofing,roof repair company,1,0.6445862054824829,1,0,0
92,roofing with thomas,roofing contractor in tulsa,1,0.4783412218093872,1,0,0
93,petra roofing,residential roofing company,1,0.6088747382164001,1,0,0
94,mcbride roofing,home roofing contractor,1,0.602681577205658,0,0,1
95,up roofing,+roof +replacement +company,1,0.5873351693153381,0,0,1
96,williams roofing,residential roofing contractor,1,0.6287568211555481,1,0,0
97,acts 29 roofing,residential roofing contractor,1,0.4776839315891266,1,0,0
98,mcpride roofing,roofing companies near me,1,0.6170117855072021,1,0,0
99,guyette roofing,roof repair specialist,2,0.6387097835540771,0,0,1
100,bristow roofing,roofing company service,2,0.6022009253501892,0,0,1
101,top rated roofers near me,roofing company near me,2,0.8345681428909302,0,1,0
102,roofing payment plans,roofing payment plans,0,1.0000001192092896,0,1,0
103,church roofing contractors,residential roofing contractor,2,0.7966986894607544,1,0,0
104,roof eave repair,damaged roof repair,2,0.7798866033554077,0,0,1
105,cost to fix roof leak,+roof +leak +repair,2,0.6675820350646973,0,0,1
106,ultra roofing,roofers near me,2,0.5888283252716064,1,0,0
107,robinson roofing,roofing companies near me,2,0.6781260967254639,1,0,0
108,roofing tulsa ok,best roof installers,2,0.5742130279541016,0,0,1
109,roofers,roofing company,1,0.7836735248565674,0,1,0
110,dewberry architects tulsa,roofing contractor in tulsa,2,0.6108202934265137,1,0,0
111,o hara's son roofing company,roofing contractor company,2,0.7438240647315979,0,0,1
112,roofs for you,roof repair company,2,0.5734241008758545,1,0,0
113,land run roofing,roof repair company,2,0.5739860534667969,0,0,1
114,top roof near me,residential roofing company,2,0.561303436756134,1,0,0
115,roofing companies owasso ok,roofing contractor service,2,0.6140255928039551,0,0,1
116,roofers mcalester ok,roofing contractor company,2,0.640342652797699,0,0,1
117,fort worth roofing company,roof installation company,2,0.7721211910247803,0,0,1
118,murfreesboro roofing,roof repair specialist,2,0.5827947854995728,0,0,1
119,hart roofing,roof repair services,2,0.6707226634025574,1,0,0
120,chitwood roofing salina ok,roofing contractor in salina,1,0.6710509657859802,0,0,1
121,atoz roofing,roof repair services,2,0.6241275668144226,1,0,0
122,driller roofing,roofing company service,1,0.5816830992698669,0,0,1
123,roofers near me that offer financing,residential roofing contractor,2,0.568872332572937,0,0,1
124,blown in insulation cost per sq ft,blown in roof insulation,2,0.6072068214416504,0,0,1
125,foam insulation for attic,attic insulation service,2,0.6752294301986694,1,0,0
126,24 attic insulation,attic insulation service,2,0.7179906368255615,0,0,1
127,blown insulation for attic,blow in insulation,2,0.7394149899482727,0,1,0
128,general contractor companies near me,residential roofing contractor,2,0.5794057846069336,1,0,0
129,scotts roofing,residential roofing company,2,0.6819981336593628,1,0,0
130,geico roofing,roof repair services,2,0.7008658051490784,1,0,0
131,stillwater roofing,roofers near me,2,0.6211907863616943,1,0,0
132,atwell roofing tulsa,+roofing +in +tulsa +ok,2,0.7958065271377563,0,0,1
133,roofing companies,roof repair contractor,2,0.7349913716316223,0,1,0
134,roofing insulation,roof repair contractor,2,0.47528284788131714,1,0,0
135,roofing companies,roofing company in my area,2,0.9128162860870361,0,1,0
136,first class roofing,roofing contractor service,2,0.6315329074859619,0,0,1
137,roofing com,residential roofing company,2,0.8136070370674133,1,0,0
138,hornback roofing,roof repair company,1,0.5521388053894043,0,0,1
139,broken arrow roofers,roofing contractor in my area,2,0.49454939365386963,0,0,1
140,tulsa roofer,roofing contractor service,2,0.5690010786056519,0,0,1
141,insurance roofing,roofers in tulsa,2,0.5638304948806763,1,0,0
142,frisby roofing,home roofing contractor,2,0.6137121915817261,0,0,1
143,roofer left roof exposed,roof installation company,2,0.5009338855743408,1,0,0
144,basey roofing,residential roofing company,2,0.5258994102478027,1,0,0
145,sterling roofing services dumfries,house roof repair,2,0.5137127637863159,0,0,1
146,mcbride roofing,roofing company service,1,0.5974540114402771,0,0,1
147,tulsas best roofer 2019,best roofing contractor,2,0.6458010673522949,0,0,1
148,composite roof shingles,home roof replacement,2,0.5545712113380432,1,0,0
149,c&a roofing,residential roofing company,1,0.6795921325683594,1,0,0
150,my roof,residential roofing company,2,0.4373783469200134,1,0,0
151,i need a new roof,home roofing,2,0.6629260182380676,0,1,0
152,on top roofing utah,roof repair specialist,2,0.5809415578842163,0,0,1
153,roofer near me,roof repair specialist,2,0.668349027633667,0,1,0
154,beamer roofing,roofing companies near me,1,0.6194506883621216,0,0,1
155,roofing companies broken arrow ok,+roof +contractor +broken +arrow,2,0.7149967551231384,0,1,0
156,rain during roof replacement,home roof replacement,2,0.6309287548065186,1,0,0
157,duke roofing,roofers near me,2,0.5581750273704529,1,0,0
158,fitzgerald roofing tulsa,roof installation company,2,0.6166852712631226,0,0,1
159,roofers owasso,local residential roofers,2,0.6104010939598083,0,0,1
160,dice roofing,residential roofing company,1,0.533686637878418,1,0,0
161,roof repair estimate,roofing company estimate,2,0.7937894463539124,0,1,0
162,new view roofing,roofing contractor service,2,0.5793800950050354,0,0,1
163,roofers in bartlesville ok,licensed roofing company,2,0.6804223656654358,0,0,1
164,skyleaf broken arrow,roofers in broken arrow,2,0.4488094449043274,1,0,0
165,roofing consulting services,roofing company service,2,0.8774076700210571,0,1,0
166,tulsa roofers,roof repair in tulsa,2,0.8178999423980713,0,1,0
167,tulsa roofers,+roof +repair +contractor,2,0.5647487640380859,0,0,1
168,roofing contractors great falls,roof replacement contractor,2,0.6669025421142578,0,0,1
169,roofing coweta ok,roof installation company,2,0.5766201019287109,0,0,1
170,fascia replacement near me,roof repair services,2,0.3500638008117676,1,0,0
171,roof repair in broken arrow,roofing in broken arrow,2,0.875947117805481,0,1,0
172,new roof 2000 sq ft house,house roof replacement,2,0.7328667640686035,0,0,1
173,legendary roofing and construction,home roofing contractor,2,0.6443787813186646,0,0,1
174,veteran roofing near me,roofing company in my area,2,0.7407398223876953,0,0,1
175,butler roof,damaged roof repair,2,0.36643388867378235,1,0,0
176,roofers tulsa,roofing contractor in tulsa,2,0.8298125267028809,0,1,0
177,roofers tulsa,roofing company in my area,2,0.7121888995170593,0,0,1
178,contractors tulsa ok,roofers in tulsa,1,0.7283573150634766,1,0,0
179,sand springs ok roofers,roof repair in sand springs,2,0.8055695295333862,0,1,0
180,golden roofing,roof installation company,2,0.6450405120849609,0,0,1
181,roof estimate broken arrow ok,roofing estimate near me,2,0.6101541519165039,0,0,1
182,shingles roofing company,roofing contractor company,2,0.8330496549606323,0,0,1
183,roof estimate broken arrow ok,roofing company broken arrow,2,0.7967787981033325,0,1,0
184,tulsa roofs,good roofing company,2,0.5994437336921692,0,0,1
185,total roof replacement,home roof replacement,2,0.8423589468002319,0,1,0
186,roofing companies in jenks,local residential roofers,2,0.6940271854400635,0,0,1
187,loans for a new roof,roofing financing,2,0.8337143659591675,0,1,0
188,joplin roofing companies,roof repair specialist,2,0.5679468512535095,0,0,1
189,monson roofing,residential roofing contractor,2,0.5835766196250916,1,0,0
190,skinner roofing,roofing company in my area,2,0.575790286064148,1,0,0
191,roof companies that finance,roofing companies near me that finance,2,0.9414785504341125,0,1,0
192,claremore roofing contractor,roof repair in claremore,2,0.768783450126648,0,1,0
193,pro source roofing,roofing companies near me,2,0.6776608228683472,1,0,0
194,fort worth roofing companies,residential roofing company,2,0.7210932970046997,1,0,0
195,hammer roofing and restoration,damaged roof repair,2,0.6270396709442139,1,0,0
196,max roofing,roof repair services,2,0.6289656758308411,1,0,0
197,clay roof,roof installation company,2,0.5381065011024475,1,0,0
198,toofing,home roofing,1,0.15821503102779388,0,1,0
199,paramount roofing,home roofing contractor,2,0.6383320093154907,0,0,1
200,jackson roofing company,roof installation company,2,0.7711677551269531,0,0,1
201,whitney roofing,roof repair services,2,0.6305868625640869,1,0,0
202,weatherguard roofing,roofing company service,2,0.5426540970802307,0,0,1
203,estimate roofing,roofing quotes,2,0.694926917552948,0,1,0
204,thomas roofing company,residential roofing company,2,0.7494261860847473,1,0,0
205,roofers tulsa ok,+house +roof +repair,2,0.5713615417480469,0,0,1
206,free roof estimate near me,residential roofing contractor,2,0.5523196458816528,1,0,0
207,chitwood roofing salina ok,+roof +replacement +company,1,0.5642437934875488,0,0,1
208,repair roof shingles,damaged roof repair,2,0.7572070360183716,0,0,1
209,ceiling insulation r30,attic insulation service,2,0.6098878979682922,1,0,0
210,bluetex insulation,roof insulation company,2,0.5699196457862854,0,0,1
211,best blow in insulation for attics,blown in insulation installation,2,0.43291619420051575,0,0,1
212,attic insulation companies,attic insulation near me,2,0.7868630886077881,0,1,0
213,custom insulation,attic insulation service,2,0.626859188079834,1,0,0
214,attic encapsulation cost,attic insulation service,2,0.636456310749054,1,0,0
215,r60 blown insulation,blown in attic insulation,2,0.6859137415885925,0,0,1
216,attic insulation,attic roof insulation,0,0.9628584384918213,0,1,0
217,affordable insulators,attic insulation service,2,0.4090802073478699,1,0,0
218,insulation company,attic insulation service,2,0.6992809772491455,1,0,0
219,injection foam insulation contractors near me,attic insulation service,2,0.5700094699859619,1,0,0
220,blown insulation tulsa,blow in insulation company near me,2,0.6622833013534546,0,0,1
221,phoenix insulation tulsa,attic insulation service,2,0.5119490623474121,1,0,0
222,1600 square foot roof estimate,roofers near me,2,0.46668916940689087,1,0,0
223,top rated roofing contractor near me,roofing company in my area,2,0.8294790983200073,0,1,0
224,roofing companies in tulsa,best roofing contractor,2,0.6481168866157532,0,0,1
225,blackstone roofing,roofing company in my area,2,0.6775519847869873,1,0,0
226,oklahoma roofing contractors,home roofing contractor,2,0.7659901976585388,1,0,0
227,roofing grove ok,roof repair specialist,2,0.5466737747192383,0,0,1
228,top roofing companies,residential roofing company,2,0.8083063960075378,1,0,0
229,golden cedar shingles,home roofing contractor,2,0.4808380603790283,1,0,0
230,roofing repair cost,roof repair cost,2,0.9681766629219055,0,1,0
231,couch roofing,roofing companies near me,2,0.5845800638198853,1,0,0
232,reyes roofing,+roofing +contractor +service,1,0.5770511627197266,0,0,1
233,local roofer near me,roof repair near me,2,0.8092039823532104,0,1,0
234,roofing claremore,roofing in claremore,2,0.9542572498321533,0,1,0
235,roofing services near me,best local roofer,2,0.7707790732383728,0,1,0
236,roofmax com,roof repair company,2,0.7920258045196533,1,0,0
237,roof repair nichols hills,+house +roof +repair,2,0.6260238885879517,0,0,1
238,spr roofing,roof installation company,2,0.6311464309692383,0,0,1
239,duke roofing,roofing company service,2,0.5965802073478699,0,0,1
240,rocket roofing,roofing company service,1,0.5147824287414551,0,0,1
241,tennessee roofing,roof repair company,2,0.657806932926178,0,0,1
242,roof rejuvenation near me,damaged roof repair,2,0.6521730422973633,0,0,1
243,peak roof,residential roofing company,2,0.5618618726730347,1,0,0
244,best roofing companies tulsa,roofing company in tulsa ok,2,0.8691489696502686,0,0,1
245,recover roofing,roofers near me,2,0.5743571519851685,1,0,0
246,hail damage on a shingle roof,storm damage roof,2,0.7331510782241821,0,0,1
247,residential roofers tulsa,roofing companies near me,2,0.6752969026565552,0,0,1
248,roof replace,house roof replacement,2,0.9008736610412598,0,1,0
249,roof by rogers,roof installation company,2,0.5247677564620972,1,0,0
250,roofing bixby ok,+roofing +company +bixby,2,0.7849806547164917,0,1,0
251,trd roofing,roof installation company,2,0.5869909524917603,0,0,1
252,state farm roof replacement requirements,home roof replacement,2,0.6156401634216309,0,0,1
253,tulsa concrete contractors,roofing contractor in tulsa,2,0.7384804487228394,1,0,0
254,who pays for roof inspection,roof repair inspection,2,0.6954622268676758,0,0,1
255,armorshield 2 shingles,roofers in tulsa,2,0.2265722155570984,1,0,0
256,stillwater roofing companies,+roof +replacement +company,2,0.6410349607467651,0,0,1
257,st petersburg roofer,roof repair expert,2,0.6518834829330444,0,0,1
258,stillwater roofing companies,roofing contractor company,2,0.7333767414093018,0,0,1
259,homeadvisor roof repair,+house +roof +repair,2,0.7271765470504761,0,0,1
260,roofing work order,roofers near me,2,0.5686287879943848,1,0,0
261,licensed roofer,licensed roofing company,2,0.7839171886444092,0,1,0
262,roofers tulsa,roof installation company,2,0.6714240312576294,0,0,1
263,gaf roofing installation,gaf roofing company,2,0.7773616313934326,0,0,1
264,roofing skilled trade services,+roofing +company +service,2,0.7734058499336243,0,0,1
265,repair roof tulsa,roof replacement company,2,0.6120190620422363,0,0,1
266,what happens if it rains while getting a new roof,home roof replacement,2,0.6145106554031372,1,0,0
267,best insurance company for roof replacement,home roof replacement,2,0.6627484560012817,0,0,1
268,roof near me,house roofers,2,0.5598194003105164,0,1,0
269,owens roofing,roofing companies near me,2,0.7162672877311707,1,0,0
270,byers roofing,local roofer,2,0.708557665348053,0,0,1
271,how much does a new roof cost for a 800 square foot house,+new +house +roofing,2,0.5753602981567383,0,0,1
272,roof shingles lifting up,damaged roof repair,2,0.44759401679039,1,0,0
273,how much does a new roof cost in oklahoma,home roof replacement,2,0.4968017041683197,0,0,1
274,olshan tulsa ok,roof repair service tulsa,2,0.45606786012649536,1,0,0
275,residential roofing insurance,residential roofing company,2,0.7454827427864075,1,0,0
276,owens corning preferred contractor,residential roofing contractor,2,0.4579099416732788,0,0,1
277,roof recoverable depreciation,home roof replacement,2,0.5863779783248901,1,0,0
278,malarky shingle,roofing company in my area,2,0.23524492979049683,1,0,0
279,mkroofing,roofing companies near me,2,0.20048163831233978,1,0,0
280,who replaces fascia boards,roof repair near me,2,0.2692904472351074,1,0,0
281,bixby roof repair,roof repair in bixby,2,0.9685119390487671,0,1,0
282,west coast roofing company,+roofing +company +service,2,0.7817184925079346,0,0,1
283,loans for roof,roof installation company,2,0.6308355331420898,1,0,0
284,roofing estimates near me,+roofing +estimate +near +me,2,0.8330577611923218,0,1,0
285,discounted shingles,roofers in tulsa,2,0.41224560141563416,1,0,0
286,roofing repair coweta,roof repair free estimate,2,0.5587190389633179,1,0,0
287,ja roofing,roofing companies near me,1,0.6082392930984497,0,0,1
288,house eaves repair,home roof replacement,2,0.5828802585601807,1,0,0
289,permaroof,roofing company in my area,2,0.12005317956209183,1,0,0
290,broken arrow roofer,local roofer,2,0.650637149810791,0,0,1
291,dynamic restoration sapulpa,roof repair company,1,0.18046104907989502,0,0,1
292,conley roofing,residential roofing company,2,0.6360988616943359,1,0,0
293,angi roofing,certified roofing contractor,2,0.5395658016204834,0,0,1
294,attic insulation replacement,attic insulation replacement,0,1.0000001192092896,0,1,0
295,home insulation services,attic insulation service,1,0.8042255640029907,1,0,0
296,blow in insulation cost,blown in roof insulation,1,0.5488591194152832,0,0,1
297,cost to insulate attic,attic insulation service,1,0.6201817989349365,0,0,1
298,tulsa home insulation,attic insulation service,1,0.6038491725921631,1,0,0
299,best wall insulation,attic insulation service,2,0.46374714374542236,1,0,0
300,attic insulation cost,attic insulation service,1,0.6854126453399658,1,0,0
301,sanctuary cellulose insulation,cellulose home insulation,2,0.8299860954284668,0,0,1
302,attic insulation broken arrow ok,attic insulation service,2,0.5965774059295654,0,0,1
303,insulation company near me,attic insulation service,2,0.6506192684173584,1,0,0
304,foam house insulation,attic insulation service,2,0.5261435508728027,1,0,0
305,atticat loose fill blown in insulation,attic roof insulation,2,0.6496915817260742,0,0,1
306,rebate on insulation,attic insulation service,2,0.5177086591720581,1,0,0
307,tulsa foam insulation,attic insulation service,2,0.505181610584259,1,0,0
308,r 38 attic insulation,attic insulation service,2,0.6928433179855347,1,0,0
309,attic insulation removal and replacement near me,attic insulation service,2,0.7387545108795166,0,0,1
310,best insulation company near me,attic insulation service,2,0.6428345441818237,1,0,0
311,m&j insulation moore ok,attic insulation service,2,0.5348072052001953,1,0,0
312,insulation guys near me,attic insulation service,2,0.6199350357055664,1,0,0
313,insulation r30,attic insulation service,2,0.5559511780738831,1,0,0
314,insulation for attic,attic insulation service,2,0.7723971605300903,1,0,0
315,roofing and insulation services,roof insulation contractor,2,0.770301103591919,0,1,0
316,blown in insulation contractors,blow in insulation company near me,2,0.7278071045875549,0,1,0
317,attic cleanup and decontamination,attic insulation service,2,0.5297130942344666,1,0,0
318,affordable insulation company,attic insulation service,2,0.6272733211517334,1,0,0
319,cost of blown in insulation per square foot,blown in insulation installation,2,0.5266523361206055,0,0,1
320,24 insulation,attic insulation service,2,0.5174505710601807,1,0,0
321,r30 faced insulation,attic insulation service,2,0.45785313844680786,1,0,0
322,how should an attic be insulated,attic insulation service,2,0.6332662105560303,1,0,0
323,attic systems insulation,attic insulation service,2,0.7990531921386719,0,0,1
324,insulation blown in,blown in house insulation,2,0.8898253440856934,0,1,0
325,mineral wool blown in insulation,blown in roof insulation,2,0.6938787698745728,0,0,1
326,insulation for roof,roof insulation,2,0.9389551877975464,0,1,0
327,insulation on roof rafters,attic roof insulation,2,0.7837631702423096,0,0,1
328,insulation quotes,attic insulation service,2,0.5950545072555542,1,0,0
329,the insulation guys,attic insulation service,2,0.5517762899398804,1,0,0
330,attic ventilation near me,attic insulation service,2,0.5229290723800659,1,0,0
331,attic insulation removal near me,attic insulation service,2,0.7066555619239807,0,0,1
332,attic cleanup,attic insulation service,2,0.5530810952186584,1,0,0
333,attic insulation broken arrow ok,attic insulation broken arrow,2,0.9846304059028625,0,0,1
334,attic installations,attic insulation service,2,0.6085156202316284,1,0,0
335,blown insulation contractors near me,blown in insulation company,2,0.7384806871414185,0,1,0
336,insulation installer,attic insulation service,2,0.673892617225647,1,0,0
337,mineral rock insulation,attic insulation service,2,0.43896979093551636,1,0,0
338,golden way roofing,commercial roofing tulsa,2,0.6674675345420837,1,0,0
339,castagra roofing,commercial flat roof replacement,2,0.5451047420501709,1,0,0
340,top roofing companies tulsa,commercial roofing tulsa,2,0.8335552215576172,1,0,0
341,standing seam metal roof installers near me,commercial roof repair company,2,0.5551386475563049,1,0,0
342,best roofers in tulsa,commercial roofing tulsa,2,0.8181431293487549,1,0,0
343,industrial & commercial roofing,commercial roofing company,2,0.8029987812042236,0,0,1
344,roofing companies stillwater ok,commercial roofing stillwater,2,0.8650094270706177,0,1,0
345,roofing companies owasso ok,industrial roofing company,2,0.6648992300033569,0,0,1
346,commercial roof,commercial roofing contractor,2,0.7639342546463013,1,0,0
347,epdm rubber roofing membrane,EPDM roofing,2,0.7504259943962097,0,1,0
348,rubber roofing for flat roof,commercial flat roof replacement,2,0.5890589356422424,1,0,0
349,hargrove roofing,commercial roofing contractor,2,0.5634496212005615,1,0,0
350,conklin roofing cost,commercial flat roof replacement,2,0.4106951951980591,1,0,0
351,parsons commercial roofing,commercial roofing contractor,2,0.6889147758483887,1,0,0
352,rolls of rubber roofing,commercial flat roof replacement,2,0.43873339891433716,1,0,0
353,roof repair and restoration,commercial roofing contractor,2,0.5774480104446411,1,0,0
354,commercial roofing contractors in tulsa,commercial roofing tulsa,2,0.8838545083999634,0,1,0
355,metal roof near me,commercial roof repair,2,0.5469342470169067,1,0,0
356,tpo roofing,commercial roofing contractor,2,0.5311480760574341,1,0,0
357,membrane roofing,commercial flat roof replacement,1,0.515360951423645,1,0,0
358,rcs roofing,commercial roofing contractor,2,0.620597243309021,1,0,0
359,flat roofing near me,commercial flat roof replacement,0,0.6983416080474854,1,0,0
360,roofing force joplin,commercial roofing contractor,2,0.45664918422698975,1,0,0
361,tpo installation methods,TPO roof installation,2,0.7074755430221558,0,1,0
362,tulsa commercial roofers,commercial roofing tulsa,2,0.8776479959487915,0,1,0
363,best roofing companies in tulsa,commercial roofing tulsa,2,0.8395898342132568,1,0,0
364,roofing contractors tulsa,commercial roofing tulsa,2,0.8784247636795044,1,0,0
365,commercial roofing in omaha,commercial roof restoration,2,0.6896430253982544,0,0,1
366,sun commercial roofing,commercial roofing company,2,0.7771050930023193,1,0,0
367,commercial roof drain repair,commercial roof repair,2,0.6603796482086182,0,0,1
368,roofing commercial,commercial roofers near me,2,0.607793927192688,0,1,0
369,roofing and restoration,commercial roof repair company,2,0.6308293342590332,1,0,0
370,roofing insulation,commercial flat roof replacement,2,0.4385477900505066,1,0,0
371,turner roof,commercial roofing contractor,2,0.5146871209144592,1,0,0
372,commercial roofing kansas,+commercial +roofing +company,2,0.7163017392158508,0,0,1
373,roofing jenks,commercial roofing tulsa,2,0.7219671010971069,1,0,0
374,roofing company in owasso,commercial roofing owasso,2,0.814694344997406,0,1,0
375,patch tpo roof,TPO roof repair,2,0.928328812122345,0,1,0
376,roll roofing installation,roll roof installation,2,0.9632551074028015,0,1,0
377,roofing company tulsa ok,commercial roofing tulsa,2,0.8492838144302368,1,0,0
378,ronco tulsa,commercial roofing tulsa,1,0.5112426280975342,1,0,0
379,roof repair mesh,commercial flat roof replacement,2,0.46317216753959656,1,0,0
380,commercial roofers tulsa,+commercial +roofing +company,2,0.7315597534179688,0,0,1
381,commercial roofing repairs near me,commercial roof repair specialist,2,0.7476943135261536,0,1,0
382,tpo commercial roofing,commercial flat roofing,2,0.7349862456321716,0,0,1
383,applying roll roofing,roll roof installation,2,0.8425909280776978,0,1,0
384,commercial roof coatings,commercial roofing contractor,2,0.5740723609924316,1,0,0
385,need a roof repair,commercial roof repair,2,0.821688175201416,1,0,0
386,skyline roofing oklahoma,commercial roofing contractor,2,0.538417398929596,0,0,1
387,tamko rolled roofing,commercial roofing contractor,2,0.462722510099411,1,0,0
388,rubber roof shingles,rubber roofers,2,0.8293097019195557,0,0,1
389,rubber roofing,commercial roof repair company,2,0.48714977502822876,1,0,0
390,roofing companies tulsa,commercial roofing tulsa,2,0.8934890627861023,0,1,0
